City,Provinsi,Cabang,Alamat,lat,lon
Jakarta Barat,DKI Jakarta,KCP Taman Harapan Indah,"Komp. Taman Harapan Indah Blok EE No.1, Jelambar Baru. Jakarta Barat, 11460",-6.1448258,106.7858279
Jakarta Barat,DKI Jakarta,KCP Taman Kencana,"Komp.Taman Kencana Blok C1/11, Jln. Kamal Raya, Cengkareng. Jakarta Barat, 11730",-6.1280584,106.7247107
Jakarta Barat,DKI Jakarta,KCP Taman Palem Lestari,"Komp. Perum Taman Palem Lestari C5 No. 9-11, Cengkareng. Jakarta Barat, 11730",-6.1372296,106.7187415
Jakarta Barat,DKI Jakarta,KCP Taman Permata Buana,"Ruko Taman Permata Buana, Jln. Pulau Bira III Blok D1/36-37 Kembangan, Jakarta Barat, 11610",-6.1709924,106.7439795
Jakarta Barat,DKI Jakarta,KCP Taman Ratu,"Komp.Taman Ratu Blok B 5/8. Jakarta Barat, 11510",-6.1646476,106.7696083
Jakarta Barat,DKI Jakarta,KCP Taman Sari,"Jln. Taman Sari 47-47A. Jakarta Barat, 11150",-6.1569043,106.8248311
Jakarta Barat,DKI Jakarta,KCP Taman Semanan Indah,"Perum. Taman Semanan Indah Blok H No. 22 & 23, Jln.Duri Kosambi. Jakarta Barat, 11750",-6.163874,106.7213023
Jakarta Barat,DKI Jakarta,KCP Tanjung Duren,"Jln. Tanjung Duren 3. Jakarta Barat, 11470",-6.179124,106.7812949
Jakarta Barat,DKI Jakarta,KCP Tanjung Duren 2,"Jln. Tanjung Duren Raya RT. 001/06 Blok A 11 No. 6A. Jakarta Barat, 11470",-6.1736526,106.78415
Jakarta Barat,DKI Jakarta,KCP Telepon Kota,"Jln. Telepon Kota 34. Jakarta Barat, 11230",0,0
Jakarta Barat,DKI Jakarta,KCP Tiang Bendera,"Rukan Batavia, Jl.Tiang Bendera V No.42 L-M Roa Malaka,Tambora. Jakarta Barat, 11230",-6.1319967,106.8047021
Jakarta Barat,DKI Jakarta,KCP Tomang Raya,"Jln. Tomang Raya 64. Jakarta Barat, 11430",-6.1752736,106.801874
Jakarta Barat,DKI Jakarta,KCP Tomang Tol,"Jln. Arjuna Kav. 8 A/1. Jakarta Barat, 11470",-6.1843397,106.7872684
Jakarta Barat,DKI Jakarta,KCP Untar,"Kampus I Universitas Tarumanegara Blok I, Jl.Letjen S.Parman No.1. Jakarta Barat, 11440",-6.1693983,106.7848992
Jakarta Barat,DKI Jakarta,KCP Utama Raya,"Jln. Utama Raya 11 E. Jakarta Barat, 11730",-6.15019,106.7237611
Jakarta Barat,DKI Jakarta,KCP Wisma Barito,"Gedung Wisma Barito, Jln. Letjen S. Parman Kav. 62-63 Slipi. Jakarta Barat, 11410",-6.1972192,106.7962279
Jakarta Barat,DKI Jakarta,KCP Wisma Slipi,"Gd. Wisma Slipi Lt.1, Jl. Letjen. S. Parman Kav. 12 Slipi. Jakarta Barat, 11480",-6.1867933,106.7943113
Jakarta Barat,DKI Jakarta,KK Central Park,"Mall Central Park Lt. Ground No.216 & 217, Jl. S. Parman Podomoro. Jakarta Barat, 11470",-6.176848,106.7894119
Jakarta Barat,DKI Jakarta,KK Untar II,"Kampus II Universitas Tarumanegara Jl.Arteri S.Parman. Jakarta Barat, 11440",0,0
Jakarta Pusat,DKI Jakarta,KCU CITY TOWER,"The City Tower, Ground Floor Jln. MH. Thamrin No. 81 Jakarta Pusat, JK 10310",-6.199065,106.8214093
Jakarta Pusat,DKI Jakarta,KCU GUNSA 45,"Jln. Gunung Sahari 45 Jakarta Pusat, JK 10720",-6.1579262,106.8357748
Jakarta Pusat,DKI Jakarta,KCU MENARA BCA,"Menara BCA Grand Indonesia Lt. 28 Jln. MH Thamrin No. 1 Jakarta Pusat, JK 10310",-6.1971094,106.8207525
Jakarta Pusat,DKI Jakarta,KCU PANGERAN JAYAKARTA,"Jln. Pangeran Jayakarta No.127 Jakarta Pusat, JK 10730",-6.142501,106.8273046
Jakarta Pusat,DKI Jakarta,KCU PASAR BARU,"Jln. KH Samanhudi 8 Jakarta Pusat, JK 10710",-6.1592412,106.8341523
Jakarta Pusat,DKI Jakarta,KCU SURYOPRANOTO,"Jln. Suryopranoto 40 Jakarta Pusat, JK 10130",-6.1699761,106.8135758
Jakarta Pusat,DKI Jakarta,KCU THAMRIN,"Menara BCA, Grand Indonesia Jln. MH Thamrin No. 1 Jakarta Pusat, JK 10310",-6.1969564,106.8204291
Jakarta Pusat,DKI Jakarta,KCU WAHID HASYIM,"Jln. KH. Wahid Hasyim No. 183 A-B Jakarta Pusat, JK 10340",-6.1874688,106.8147387
Jakarta Pusat,DKI Jakarta,KCP Abdul Muis,"Gedung Graha Motor City Level I Suite 101, Jln. Abdul Muis 24-26. Jakarta, 10160",-6.1734047,106.8190357
Jakarta Pusat,DKI Jakarta,KCP Agung Sedayu II,"Komp. Agung Sedayu Blok C No.11, Jln. Mangga Dua Raya. Jakarta, 10730",-6.1361655,106.826293
Jakarta Pusat,DKI Jakarta,KCP Alaydrus,"Jln. Alaydrus 48 B. Jakarta, 10130",-6.1642325,106.8142515
Jakarta Pusat,DKI Jakarta,KCP AM Sangaji,"Jln. AM Sangaji No. 020 A Rt. 003/04. Jakarta, 10130",-6.1635188,106.8100491
Jakarta Pusat,DKI Jakarta,KCP Atrium,"Ruko Atrium Blok E No. 12-13. Jakarta, 10410",-6.174479,106.8387389
Jakarta Pusat,DKI Jakarta,KCP Batu Ceper,"Jln. Batu Ceper Raya 18 A-B. Jakarta, 10210",-6.1627632,106.8207997
Jakarta Pusat,DKI Jakarta,KCP Bendungan Hilir,"Jl.Bendungan Hilir No.14 C. Jakarta, 10210",-6.2139866,106.8122083
Jakarta Pusat,DKI Jakarta,KCP Biak,"Jln. Biak No. 44 AB. Jakarta, 10150",-6.1680059,106.8062349
Jakarta Pusat,DKI Jakarta,KCP Bungur,"Jln. Bungur Besar Raya 32 & 32A. Jakarta, 10610",-6.1645912,106.8389002
Jakarta Pusat,DKI Jakarta,KCP C’ One Plaza,"Jl. Letjend. Suprapto No. 62 Cempaka Putih. Jakarta, 10640",-6.1741191,106.8511696
Jakarta Pusat,DKI Jakarta,KCP Cempaka Putih,"Jln. Letjen Suprapto No.30 EF. Jakarta, 10640",-6.1728981,106.8578951
Jakarta Pusat,DKI Jakarta,KCP Cempaka Putih Raya,"Jln. Cempaka Putih Raya 102 C-D. Jakarta, 10510",-6.1728981,106.8578951
Jakarta Pusat,DKI Jakarta,KCP Cideng Barat,"Jln. Cideng Barat 53. Jakarta, 10150",-6.1730735,106.8087923
Jakarta Pusat,DKI Jakarta,KCP Cideng Timur,"Jln. Cideng Timur 11 F. Jakarta, 10130",-6.1640444,106.8087209
Jakarta Pusat,DKI Jakarta,KCP City Center,"Kawasan Terpadu The City Center, Gedung Perkantoran Tower One Ground Floor, Jl.KH.M Mansyur Kav.126. Jakarta, 10220",-6.1547154,106.8060722
Jakarta Pusat,DKI Jakarta,KCP Duta Merlin,"Komp. Duta Merlin Blok A No. 24-25, Jln. Gajah Mada 3-5. Jakarta, 10130",-6.166061,106.8178613
Jakarta Pusat,DKI Jakarta,KCP Empat Enam,"Wisma 46 Lantai Dasar, Jln. Jend. Sudirman Kav. 1. Jakarta, 10220",-6.2035424,106.8180523
Jakarta Pusat,DKI Jakarta,KCP Gedung Jaya,"Jl. MH Thamrin No. 12. Jakarta, 10250",-6.1864346,106.8206116
Jakarta Pusat,DKI Jakarta,KCP Gondongdia Lama,"Jln. R.P. Soeroso No. 25. Jakarta, 10330",-6.191385,106.8342293
Jakarta Pusat,DKI Jakarta,KCP Grand Cempaka Mas,"Ruko Mega Grosir Cempaka Mas Blok A/5-A/7, Jln.Letjen Suprapto. Jakarta, 10640",-6.1655106,106.8735573
Jakarta Pusat,DKI Jakarta,KCP Harmoni Plaza,"Komp Harmoni Plaza Blok B No. 26-27, Jln. Suryopranoto 2. Jakarta, 10130",-6.1679886,106.8171671
Jakarta Pusat,DKI Jakarta,KCP Hasyim Ashari,"Jln. KH H. Ashari 5 AA. Jakarta, 10130",-6.1649962,106.8160237
Jakarta Pusat,DKI Jakarta,KCP ITC Roxi Mas,"ITC Roxy Mas Basement 13, Jln.KH.Hasyim Ashari 125. Jakarta, 10150",-6.1670565,106.8012279
Jakarta Pusat,DKI Jakarta,KCP ITC Roxy Mas II,"ITC Roxy Mas Lt. 4 Blok E No. 26-38, Jln. KH Hasyim Ashari No. 125. Jakarta, 10150",0,0
Jakarta Pusat,DKI Jakarta,KCP Jayakarta,"Jln. P. Jayakarta 26 Blok A/2-3. Jakarta, 10730",-6.142501,106.8273046
Jakarta Pusat,DKI Jakarta,KCP Jembatan Lima,"Jln. KH. Moch. Mansyur 15 F. Jakarta, 10140",0,0
Jakarta Pusat,DKI Jakarta,KCP Juanda III,"Jln. Ir. Juanda III No. 34. Jakarta, 10120",-6.1639166,106.8214418
Jakarta Pusat,DKI Jakarta,KCP KEM Tower,"Gedung KEM Tower, Jl. Landas Pacu Barat Blok B Kav. 2. Jakarta, 10610",-6.1551286,106.8426224
Jakarta Pusat,DKI Jakarta,KCP Kramat Jaya Baru,"Jl. Percetakan Negara II No. 16 B-C. Jakarta, 10560",-6.1831115,106.8539061
Jakarta Pusat,DKI Jakarta,KCP Krekot Bunder,"Jln. Raya Krekot Bunder 58, RT.003/06. Jakarta, 10710",-6.160006,106.8299863
Jakarta Pusat,DKI Jakarta,KCP Kwitang,"Jln. Kwitang Raya No. 17. Jakarta, 10420",-6.1806596,106.8377667
Jakarta Pusat,DKI Jakarta,KCP Kyai Caringin,"Jln. Balikpapan No. 19 B & C. Jakarta, 10…",0,0
Jakarta Pusat,DKI Jakarta,KCP Mall Grand Indonesia,"Gedung Grand Indonesia Mall A, Lower Ground No. 20-21, Jln. MH Thamrin No. 1. Jakarta, 10310",-6.195481,106.8175283
Jakarta Pusat,DKI Jakarta,KCP Mangga Besar Raya,"Jln. Mangga Besar Raya 128. Jakarta, 10750",-6.148343,106.8272853
Jakarta Pusat,DKI Jakarta,KCP Mangga Dua Mal,"Mangga Dua Mal No. RM. 49, Jln. Mangga Dua Raya. Jakarta, 10730",-6.1357258,106.822207
Jakarta Pusat,DKI Jakarta,KCP Menteng,"Plaza Menteng Unit GF 12-13, Jl.HOS Cokroaminoto No.79. Jakarta, 10310",-6.1969114,106.8265995
Jakarta Pusat,DKI Jakarta,KCP Metro Pasar Baru,"Gedung Metro Pasar Baru Lt. Dasar No. 101, 102, 103, Jln. Samanhudi. Jakarta, 10710",-6.1610529,106.8300034
Jakarta Pusat,DKI Jakarta,KCP Metro Tanah Abang,"Pusat Grosir Metro Tanah Abang Lt. Lower Ground Blok A No. 31-33, 35-40, 82-83, 85-88, Jl.KH Wahid Hasyim. Jakarta, 10240",-6.1877213,106.8140761
Jakarta Pusat,DKI Jakarta,KCP Pasar Cikini,"Gedung Permata Hijau Lt.2 Jln. Pegangsaan Barat 7 A. Jakarta, 10320",-6.2015252,106.8406898
Jakarta Pusat,DKI Jakarta,KCP Pasar Kenari,"Jln. Kenari II/8. Jakarta, 10430",-6.19289,106.8445903
Jakarta Pusat,DKI Jakarta,KCP Pasar Tanah Abang,"Jln. KH Fachrudin 36 Blok D/23. Jakarta, 10250",-6.1859132,106.812911
Jakarta Pusat,DKI Jakarta,KCP Pecenongan,"Jln. Pecenongan 86. Jakarta, 10120",-6.1620828,106.8247108
Jakarta Pusat,DKI Jakarta,KCP Penjernihan,"Jln. Penjernihan I No.23. Jakarta, 10210",-6.2013536,106.8075808
Jakarta Pusat,DKI Jakarta,KCP Percetakan Negara,"Jln. Percetakan Negara No. 223 C. Jakarta, 10570",-6.1877829,106.862459
Jakarta Pusat,DKI Jakarta,KCP Pintu Air,"Jln. Pintu Air 36 Q. Jakarta, 10710",-6.1652508,106.8299006
Jakarta Pusat,DKI Jakarta,KCP Raden Saleh,"Jl.Raden Saleh No.13, 15, 17A. Jakarta, 10430",-6.1906847,106.8417952
Jakarta Pusat,DKI Jakarta,KCP Rajawali,"Jl.Rajawali Selatan Raya Blok C5 No.2 Rukan Multi Guna Blok 2. Jakarta, 10720",-6.1433458,106.8421329
Jakarta Pusat,DKI Jakarta,KCP Ratu Plaza,"Jln. Jend. Sudirman Lantai Dasar. Jakarta, 10270",-6.2099587,106.8170815
Jakarta Pusat,DKI Jakarta,KCP Rawasari,"Jl. Rawasari Selatan No. 24 A. Jakarta, 10570",-6.1857905,106.8690887
Jakarta Pusat,DKI Jakarta,KCP Regional Tanah Abang,"Pasar Regional Tanah Abang Blok F, Lt. Dasar. Jakarta, 10250",-6.1875098,106.8113728
Jakarta Pusat,DKI Jakarta,KCP Roxy Mas,"Komplek Ruko Roxy Mas Jl.K.H Hasyim Ashari Blok C.5 No.6 – 8. Jakarta, 10150",-6.1685203,106.8025069
Jakarta Pusat,DKI Jakarta,KCP Sabang,"Jln. H. Agus Salim 57 B. Jakarta, 10340",-6.1865791,106.8230842
Jakarta Pusat,DKI Jakarta,KCP Sahid Sudirman Residence,"The Office Sahid Sudirman Residence Lt. LG Unit 01, Jln. Jend. Sudirman No. 86. Jakarta, 10220",-6.2099587,106.8170815
Jakarta Pusat,DKI Jakarta,KCP Samanhudi,"Jln. Samanhudi 57 B. Jakarta, 10710",-6.1592412,106.8341523
Jakarta Pusat,DKI Jakarta,KCP Sawah Besar,"Jln. Sukarjo Wiryopranoto 28 C. Jakarta, 10120",-6.1608898,106.8209318
Jakarta Pusat,DKI Jakarta,KCP Semanggi,"Wisma GKBI, Jl. Jend. Sudirman No. 28 Suite G 01. Jakarta, 10210",-6.217452,106.8107718
Jakarta Pusat,DKI Jakarta,KCP Senayan City,"Senayan City L3 – 56, Jln. Asia Afrika Lot 19. Jakarta, 10270",-6.2269475,106.7946401
Jakarta Pusat,DKI Jakarta,KCP Senen,"Pusat Grosir Senen Jaya Blok A8-9 Lantai 2. Jakarta, 10410",-6.1758627,106.8395671
Jakarta Pusat,DKI Jakarta,KCP Sentral Cikini,"Jl. Pegangsaan Timur No. 1 Menteng, Jakarta Pusat. Jakarta, 10330",-6.1977069,106.8392334
Jakarta Pusat,DKI Jakarta,KCP Sudirman Park,"Rukan Sudirman Park Blok B No. 9, Jln. KH. Mas Mansyur Kav. 35. Jakarta, 10220",-6.205704,106.8159143
Jakarta Pusat,DKI Jakarta,KCP Tanah Abang 2,"Jln. Tanah Abang II No.49 & 51. Jakarta, 10160",-6.1756897,106.8127501
Jakarta Pusat,DKI Jakarta,KCP Tanah Abang Blok A,"Kios Pasar Tanah Abang Blok A Basement I/G-063, F-080, F-081. Jakarta, 10250",-6.18718,106.8124809
Jakarta Pusat,DKI Jakarta,KCP Tanah Abang Blok B,"Gedung Pasar Tanah Abang Blok B Lantai 5 Kios Nomor 3, 5, 6 Jl. KH Fachrudin No. 78, 80, 82. Jakarta, 10250",-6.18797,106.8121453
Jakarta Pusat,DKI Jakarta,KCP Tanah Abang Zona 3,"Gd. Jembatan Tanah Abang Blok A Zona 3 Lt. 2 Los C Bo. 3,5,7,9 & 11, Jln. KH Wahid Hasyim. Jakarta, 10250",-6.9272145,107.5960396
Jakarta Pusat,DKI Jakarta,KCP Thamrin Nine,"Thamrin Nine Podium Area – UG Unit A, Jl. MH Thamrin No. 10. Jakarta, 10230",-6.199432,106.8205743
