City,Provinsi,Cabang,Alamat
Jakarta Pusat,DKI Jakarta,KCP Mall Grand Indonesia,"Gedung Grand Indonesia Mall A, Lower Ground No. 20-21, Jln. MH Thamrin No. 1. Jakarta, 10310"
Jakarta Pusat,DKI Jakarta,KCP Mangga Besar Raya,"Jln. Mangga Besar Raya 128. Jakarta, 10750"
Jakarta Pusat,DKI Jakarta,KCP Mangga Dua Mal,"Mangga Dua Mal No. RM. 49, Jln. Mangga Dua Raya. Jakarta, 10730"
Jakarta Pusat,DKI Jakarta,KCP Menteng,"Plaza Menteng Unit GF 12-13, Jl.HOS Cokroaminoto No.79. Jakarta, 10310"
Jakarta Pusat,DKI Jakarta,KCP Metro Pasar Baru,"Gedung Metro Pasar Baru Lt. Dasar No. 101, 102, 103, Jln. Samanhudi. Jakarta, 10710"
Jakarta Pusat,DKI Jakarta,KCP Metro Tanah Abang,"Pusat Grosir Metro Tanah Abang Lt. Lower Ground Blok A No. 31-33, 35-40, 82-83, 85-88, Jl.KH Wahid Hasyim. Jakarta, 10240"
Jakarta Pusat,DKI Jakarta,KCP Pasar Cikini,"Gedung Permata Hijau Lt.2 Jln. Pegangsaan Barat 7 A. Jakarta, 10320"
Jakarta Pusat,DKI Jakarta,KCP Pasar Kenari,"Jln. Kenari II/8. Jakarta, 10430"
Jakarta Pusat,DKI Jakarta,KCP Pasar Tanah Abang,"Jln. KH Fachrudin 36 Blok D/23. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,KCP Pecenongan,"Jln. Pecenongan 86. Jakarta, 10120"
Jakarta Pusat,DKI Jakarta,KCP Penjernihan,"Jln. Penjernihan I No.23. Jakarta, 10210"
Jakarta Pusat,DKI Jakarta,KCP Percetakan Negara,"Jln. Percetakan Negara No. 223 C. Jakarta, 10570"
Jakarta Pusat,DKI Jakarta,KCP Pintu Air,"Jln. Pintu Air 36 Q. Jakarta, 10710"
Jakarta Pusat,DKI Jakarta,KCP Raden Saleh,"Jl.Raden Saleh No.13, 15, 17A. Jakarta, 10430"
Jakarta Pusat,DKI Jakarta,KCP Rajawali,"Jl.Rajawali Selatan Raya Blok C5 No.2 Rukan Multi Guna Blok 2. Jakarta, 10720"
Jakarta Pusat,DKI Jakarta,KCP Ratu Plaza,"Jln. Jend. Sudirman Lantai Dasar. Jakarta, 10270"
Jakarta Pusat,DKI Jakarta,KCP Rawasari,"Jl. Rawasari Selatan No. 24 A. Jakarta, 10570"
Jakarta Pusat,DKI Jakarta,KCP Regional Tanah Abang,"Pasar Regional Tanah Abang Blok F, Lt. Dasar. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,KCP Roxy Mas,"Komplek Ruko Roxy Mas Jl.K.H Hasyim Ashari Blok C.5 No.6 – 8. Jakarta, 10150"
Jakarta Pusat,DKI Jakarta,KCP Sabang,"Jln. H. Agus Salim 57 B. Jakarta, 10340"
Jakarta Pusat,DKI Jakarta,KCP Sahid Sudirman Residence,"The Office Sahid Sudirman Residence Lt. LG Unit 01, Jln. Jend. Sudirman No. 86. Jakarta, 10220"
Jakarta Pusat,DKI Jakarta,KCP Samanhudi,"Jln. Samanhudi 57 B. Jakarta, 10710"
Jakarta Pusat,DKI Jakarta,KCP Sawah Besar,"Jln. Sukarjo Wiryopranoto 28 C. Jakarta, 10120"
Jakarta Pusat,DKI Jakarta,KCP Semanggi,"Wisma GKBI, Jl. Jend. Sudirman No. 28 Suite G 01. Jakarta, 10210"
Jakarta Pusat,DKI Jakarta,KCP Senayan City,"Senayan City L3 – 56, Jln. Asia Afrika Lot 19. Jakarta, 10270"
Jakarta Pusat,DKI Jakarta,KCP Senen,"Pusat Grosir Senen Jaya Blok A8-9 Lantai 2. Jakarta, 10410"
Jakarta Pusat,DKI Jakarta,KCP Sentral Cikini,"Jl. Pegangsaan Timur No. 1 Menteng, Jakarta Pusat. Jakarta, 10330"
Jakarta Pusat,DKI Jakarta,KCP Sudirman Park,"Rukan Sudirman Park Blok B No. 9, Jln. KH. Mas Mansyur Kav. 35. Jakarta, 10220"
Jakarta Pusat,DKI Jakarta,KCP Tanah Abang 2,"Jln. Tanah Abang II No.49 & 51. Jakarta, 10160"
Jakarta Pusat,DKI Jakarta,KCP Tanah Abang Blok A,"Kios Pasar Tanah Abang Blok A Basement I/G-063, F-080, F-081. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,KCP Tanah Abang Blok B,"Gedung Pasar Tanah Abang Blok B Lantai 5 Kios Nomor 3, 5, 6 Jl. KH Fachrudin No. 78, 80, 82. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,KCP Tanah Abang Zona 3,"Gd. Jembatan Tanah Abang Blok A Zona 3 Lt. 2 Los C Bo. 3,5,7,9 & 11, Jln. KH Wahid Hasyim. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,KCP Thamrin Nine,"Thamrin Nine Podium Area – UG Unit A, Jl. MH Thamrin No. 10. Jakarta, 10230"
Jakarta Pusat,DKI Jakarta,KCP Wahid Hasyim,"Jln. KH Wahid Hasyim 82. Jakarta, 10340"
Jakarta Pusat,DKI Jakarta,KCP Wisma Nusantara,"Gedung Wisma Nusantara, Lt.Dasar, Jln. MH Thamrin 59. Jakarta, 10350"
Jakarta Pusat,DKI Jakarta,KK Pasar Senen,"Pusat Grosir Senen Jaya Blok I No. 1C dan 10 (2 unit). Jakarta, 10410"
Jakarta Pusat,DKI Jakarta,KK Plaza Kenari Mas,"Plaza Kenari Mas, Jl. Kramat Raya No. 101. Jakarta, 10440"
Jakarta Pusat,DKI Jakarta,KK Pasar Tanah Abang Lt SL GF,"Tanah Abang Blok A SL G/F 093 & 095. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai 1","Tanah Abang Blok A Lt. 1/F/121. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai 2","Tanah Abang Blok A Lt. 2/E/001 & 155. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai 3","Tanah Abang Blok A Lt. 3/E/007. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai 3A","Tanah Abang Blok A Lt. 3A/G/002A. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai B2","Tanah Abang Blok A Lt. B2/F/106. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai LG","Tanah Abang Blok A Lt. LG/F/090. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok B, Lantai G","Tanah Abang Blok B G/H 001 & 002. Jakarta, 10250"
Jakarta Pusat,DKI Jakarta,KK Tanah Abang Zona 3,"Tanah Abang Lt. 2 Los B No. 16, 18, 20 Jembatan Blok A. Jakarta, 10250"
Jakarta Selatan,DKI Jakarta,KCU BLOK A CIPETE,"Jln. RS Fatmawati 6 A  Jakarta Selatan, JK 12410"
Jakarta Selatan,DKI Jakarta,KCU KUNINGAN,"Gedung Menara Karya Ground Floor  Jln. HR Rasuna Said Blok X-5 Kav. 1-2  Jakarta Selatan, JK 12950"
Jakarta Selatan,DKI Jakarta,KCU MENARA BIDAKARA,"Menara Bidakara Lt. Lobby dan Lt.1  Jln. Gatot Subroto Kav.71-73  Jakarta Selatan, JK 12870"
Jakarta Selatan,DKI Jakarta,KCU PONDOK INDAH,"Wisma BCA Pondok Indah  Jln. Metro Pondok Indah  Jakarta Selatan, JK 12310"
Jakarta Selatan,DKI Jakarta,KCU SCBD,"Equity Tower Ground Floor  Unit D & Lantai 8 Unit E  Jl. Jend. Sudirman Kav. 52-53 Lot 9  Jakarta Selatan, JK 12190"
Jakarta Selatan,DKI Jakarta,KCU SUDIRMAN,"Gedung Chase Plaza  Jln. Jend. Sudirman Kav. 21  Jakarta Jakarta, JK 12920"
Jakarta Selatan,DKI Jakarta,KCU WISMA MILLENIA,"Jln M.T. Haryono Kav. 16  Jakarta Selatan, JK 12810"
Jakarta Selatan,DKI Jakarta,KCP Adhi Graha,"Gedung Adhi Graha – Ground Floor Unit C, Jln. Jend. Gatot Subroto Kav. 56. Jakarta, 12950"
Jakarta Selatan,DKI Jakarta,KCP Ampera,"Gedung Aurum, Jl.Ampera Raya 37. Jakarta, 12560"
Jakarta Selatan,DKI Jakarta,KCP Arkadia,"Gedung Perkantoran Hijau Arkadia Tower F – Groung Floor, Jln. TB Simatupang Kav. 88. Jakarta, 12520"
Jakarta Selatan,DKI Jakarta,KCP Bintaro,"Jln. RC. Veteran No.9 dan 9A Jakarta Selatan. Jakarta, 12330"
